"title","metatags","rating_score","rating_audience","reviews","total_seasons","total_episodes","total_duration (minutes)","episodes_duration_average (minutes)","audio","subtitles","audio.Español (España)","audio.Español (América Latina)","audio.English","audio.English (India)","audio.Français","audio.Português (Brasil)","audio.Italiano","audio.Deutsch","audio.Japonés","audio.Русский","audio.العربية","audio.हिंदी","subtitles.Español (España)","subtitles.Español (América Latina)","subtitles.English","subtitles.Français","subtitles.Português (Portugal)","subtitles.Português (Brasil)","subtitles.Italiano","subtitles.Deutsch","subtitles.Русский","subtitles.العربية","subtitles.हिंदी","genres","editor","link","description"
"The Devil is a Part-Timer!","Sub | Dob","4.6",19000,5,1,12,276,23,"[""Japonés"",""English"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","-","true","-","-","-","-","true","true","true","-","true","-","-","-","-","-","[]","Showgate","https://www.crunchyroll.com/es-es/series/GR75Z5KKY/the-devil-is-a-part-timer","Frustrado por la heroína justo cuando está a un paso de conquistar el mundo, el Rey Demonio se encuentra en el Tokio moderno. Sin habilidades que valga la pena mencionar para enfrentar el mundo real, el Rey Demonio se ve obligado a llegar a fin de mes haciendo hamburguesas en un restaurante de comida rápida. Para detener cualquier plan futuro de dominación mundial, la heroína persigue el rastro del demonio y termina trabajando como una humilde vendedora por teléfono."
"Chainsaw Man","Sub | Dob","4.9",213000,171,1,12,280,23,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""Русский""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","true","true","-","true","true","true","-","-","-","true","true","true","-","true","-","true","true","-","-","[""Acción"",""Shounen"",""Sobrenatural""]","MAPPA","https://www.crunchyroll.com/es-es/series/GVDHX8QNW/chainsaw-man","Denji es un adolescente que vive con un demonio motosierra llamado Pochita. Para pagar la deuda que le dejó su padre tras su muerte, ha tenido que ganarse el pan como puede matando demonios y vendiendo sus cadáverse a la mafia, aunque su vida siempre ha sido miserable. Cuando una traición provoca la muerte de Denji, Pochita hace un contrato con él y Denji revive como ""Chainsaw Man"", un ser humano con el corazón de un demonio."
"VOICE OF FOX","Subtitulado","4.1",308,0,1,12,156,13,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama"",""Musical""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/GYNVJGJGR/voice-of-fox","Lu Hi es un cantante con gran talento que es famoso en Internet como Night Fox, donde tras una máscara de zorro esconde su identidad. En el mundo real es cantante, pero como le falta el aspecto de un verdadero idol es la voz fantasma de Kong Que, un apuesto y arrogante joven que se ha hecho famoso gracias a la voz de Lu Hi. Juntos intentarán tomar como un huracán el mundo del espectáculo, siempre que no se descubra su secreto."
"Japa Con Presents: Agent HaZAP","Subtitulado","2.3",26,0,2,36,959,27,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Musical""]","Fuji Creative Corporation","https://www.crunchyroll.com/es-es/series/GRWEQ4ZNR/japa-con-presents-agent-hazap",""
"The Great Jahy Will Not Be Defeated!","Sub | Dob","4.5",5000,5,1,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[""Comedia"",""Fantasia""]","ABC Asahi","https://www.crunchyroll.com/es-es/series/GNVHKNWXW/the-great-jahy-will-not-be-defeated","La Gran Jahy, segunda al mando del Reino Oscuro, es una figura amenazadora, temida y reverenciada por todos. Pero cuando un encuentro con una misteriosa mujer resulta en la destrucción del preciado cristal de mana del Reino Oscuro, ¡este cae derrotado! ¡Ahora Jahy acaba en el mundo humano como una niña pequeña y débil a falta del poder del cristal de maná! Por desgracia, el plan de revivir al Reino Oscuro de Jahy no será tan sencillo, puesto que hacerlo desde un pequeño y destartalado apartamento mientras se busca la vida para ganar dinero con el que pagar el alquiler y comer, no es fácil."
"Terraformars","Subtitulado","4.0",1000,11,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Ciencia Ficción"",""Seinen"",""Thriller""]","Warner Japan","https://www.crunchyroll.com/es-es/series/GRNQPEGWR/terraformars","Con la Tierra cada vez más sobrepoblada, se pone en marcha un plan para terraformar Marte usando moho y cucarachas. Cerca de 500 años después de lanzar el plan, una misión a Marte, es enviada para ver los resultados del proyecto y para descubrir más sobre el extraño virus marciano que asola la Tierra. Todos los partícipes de la misión han recibido ADN de varias formas de vida en la Tierra para defenderse en Marte, puesto que las cucarachas en 500 años han evolucionado hasta convertirse en criaturas humanoides gigantes conocidas como ""Terraformars""."
"Combatants Will Be Dispatched","Sub | Dob","4.6",3000,3,1,12,278,23,"[""Japonés"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""Русский""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""Русский""]","-","true","true","-","true","true","-","true","true","true","-","-","-","true","true","true","-","true","-","true","true","-","-","[""Comedia"",""Ciencia Ficción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/GQWH0M98E/combatants-will-be-dispatched","Cuando la maléfica Corporación Kisaragi se lanza a la conquista interestelar, el Agente de Combate Seis y su androide deben apoderarse de un planeta mágico. Pero ascender en el escalafón no será fácil, ¡un ejército demoníaco tiene sus propios intereses!"
"Fushigi Yugi: Eikoden","Sub | Dob","4.0",153,0,1,4,114,29,"[""Japonés"",""English""]","[]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Aventura"",""Drama"",""Fantasia"",""Romance"",""Shoujo""]","Fuji Creative Corporation","https://www.crunchyroll.com/es-es/series/GRX038W06/fushigi-yugi-eikoden",""
"Eyeshield 21","Subtitulado","4.7",9000,2,0,0,0,0,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Drama"",""Deportes""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/GRE5KGN36/eyeshield-21",""
"Barakamon","Sub | Dob","4.9",1000,4,1,12,264,22,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Français"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Comedia"",""Seinen""]","ntv","https://www.crunchyroll.com/es-es/series/GYMGD89VY/barakamon","BARAKAMON trata de la historia de Seishu Handa-un caligrafista, quien ha sido castigado por golpear a otro caligrafista famoso y es enviado a una pequeña isla. Como chico de ciudad, ¿Seishu será capaz de adaptarse a este nuevo ambiente?"
"Wakakozake","Subtitulado","4.7",379,0,1,12,24,2,"[""Japonés""]","[""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia"",""Seinen""]","SPO Entertainment","https://www.crunchyroll.com/es-es/series/GRGG9K1PR/wakakozake","Wakako Murasaki es una mujer de 26 años cuya mayor pasión es comer y beber. Lo que más le gusta hacer para relajarse es salir sola luego del trabajo e ir a diferentes lugares a comer y beber, aunque sea sitios que nunca ha visitado. En el momento en el que Wakako disfruta de lo bien que van la comida que quiere comer y la bebida con la que la acompaña, sus labios emiten un sonido de felicidad. Y ahora, ¿a dónde iremos esta noche?"
"Sony Music AnimeSongs ONLINE 2022","Subtitulado","4.6",255,3,1,1,208,208,"[""Japonés""]","[]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Musical""]","Sony Music Japan","https://www.crunchyroll.com/es-es/series/GEXH3WGNX/sony-music-animesongs-online-2022",""
"Koihime Musou","Subtitulado","4.6",2000,0,1,12,288,24,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Fantasia"",""Romance""]","Marvelous AQL Inc.","https://www.crunchyroll.com/es-es/series/G6P81Z916/koihime-musou",""
"Shin Tennis no Ōji-sama","Sub | Dob","4.6",800,0,0,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Español (América Latina)"",""Português (Brasil)""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[""Deportes""]","ADK","https://www.crunchyroll.com/es-es/series/G65VP3106/the-prince-of-tennis-ii","Continuación de la famosa serie tenis ""Prince of Tennis"". Esta nueva historia transcurre luego de haber finalizado el Torneo el Nacional, donde Echizen Ryoma se había ido a Estados Unidos, pero es convocado desde Japón para formar una selección sub-17 para participar del torneo mundial de tenis."
"Full Dive This Ultimate Next Gen Full Dive RPG Is Even Shittier than Real Life","Sub | Dob","4.4",4000,2,1,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""English"",""Español (América Latina)"",""Português (Brasil)"",""Русский""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[""Fantasia""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G1XHJVE5K/full-dive-this-ultimate-next-gen-full-dive-rpg-is-even-shittier-than-real-life","Hiroshi compró Kiwame Quest, el videojuego más realista jamás hecho. En él puede oler, saborear, e incluso ser lastimado físicamente, pero sus habilidades en esta aventura son tan malas como las que tiene en su vida diaria. Totalmente inmerso, jura vencer en él... ¡aún si éste lo mata!"
"Gakuen Handsome","Subtitulado","4.4",530,0,1,12,36,3,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia"",""Drama"",""Romance""]","It's","https://www.crunchyroll.com/es-es/series/G64901MJY/gakuen-handsome","La Academia Privada Baramon es la mejor escuela masculina de toda la prefectura, y el protagonista se transfiere a ella cuando regresa a su ciudad natal tras siete años viviendo fuera por el trabajo de sus padres. Pero esta no es una escuela cualquiera, puesto que en el momento en el que entras por sus puertas, te ves rodeado de una gran cantidad de hombres guapos. Desde el profesor descarado al capitán del equipo de fútbol... ¡Una curiosa historia de amor!"
