"title","metatags","rating_score","rating_audience","reviews","total_seasons","total_episodes","total_duration (minutes)","episodes_duration_average (minutes)","audio","subtitles","audio.Español (España)","audio.Español (América Latina)","audio.English","audio.English (India)","audio.Français","audio.Português (Brasil)","audio.Italiano","audio.Deutsch","audio.Japonés","audio.Русский","audio.العربية","audio.हिंदी","subtitles.Español (España)","subtitles.Español (América Latina)","subtitles.English","subtitles.Français","subtitles.Português (Portugal)","subtitles.Português (Brasil)","subtitles.Italiano","subtitles.Deutsch","subtitles.Русский","subtitles.العربية","subtitles.हिंदी","genres","editor","link","description"
"Girl Friend BETA","Subtitulado","4.0",121,0,1,12,288,24,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Romance""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/GY19NQ2QR/girl-friend-beta","Basada en un juego popular de smartphones desarrollado por CyberAgent, Girl Friend BETA es un simulador de citas que tiene más de 100 chicas para elegir, las cuales tienen la voz única de actrices de voz. SILVER LINK, quien también se encargó de la producción de animación de otros trabajos como WATAMOTE y Non Non Biyori, estará a cargo de la producción de la serie."
"Kimi to Boku","Subtitulado","4.6",666,0,1,13,312,24,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/GYMG8GV3Y/you-and-me","La serie está protagonizada por Yuta y Yuki Asaba, Shun Matsuokan y Kaname Tsukahara, a quienes acompañan el estudiante transferido Chizuru Tachibana, que se une al grupo de amigos de toda la vida. Juntos reirán, bailarán, llorarán y compartirán los recuerdos de crecer juntos y su día a día."
"Yes, No, or Maybe?","Subtitulado","4.2",2000,3,1,1,53,53,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama"",""Romance""]","My Theater DD","https://www.crunchyroll.com/es-es/series/G79H23KWW/yes-no-or-maybe","El popular y joven locutor Kunieda Kei tiene dos personalidades muy diferentes. En público, se le considera el príncipe perfecto, pero en su interior, es regañón y llama a los demás ""incompetentes"". Un día, mientras no está haciendo su habitual y perfecto papel de locutor, se reencuentra con el artista visual Tsuzuki Ushio, al que había entrevistado recientemente. Por suerte, no parece que Tsuzuki lo haya reconocido porque llevaba un traje deportivo y una máscara. Kei le dice a Tsuzuki que se llama ""Owari"" y termina en una situación en la que tiene que ayudar a Tsuzuki con su trabajo."
"Senyu","Subtitulado","4.2",320,2,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Fantasia"",""Shounen""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/GYWEMDGEY/senyu","De repente aparece en el mundo un enorme agujero del que comienzan a surgir demonios. El rey piensa que es una señal del retorno del gran rey demonio Rchimedes, que fue sellado por el héroe Creation un milenio atrás. Este decide que los descendientes del héroe han de encargarse de la amenaza y para ello aparecen 75 personas con su sangre. El héroe número 45, Alba, y un guerrero del palacio bastante sádico unen fuerzas y ahí, comenzará su aventura."
"Marudase Kintaro","Subtitulado","2.8",519,1,1,1,9,9,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia"",""Romance""]","My Theater DD","https://www.crunchyroll.com/es-es/series/G8DHV79M5/marudase-kintaro","Makoto es un estudiante y director de la Academia Onodera, a quien toda la academia ve como su objetivo a batir debido al último deseo del anterior director: ""Aquel hombre que sea capaz de seducir a Makoto con sus excepcionales técnicas sexuales, tendrá derecho a ser el nuevo director de la Academia Onodera"". Pero gracias a Kintaro, su guardaespaldas y novio, Makoto lleva una vida bastante tranquila. Todo se revuelve cuando una academia hermana de la Academia Onodera, la división de Kawakara, entra en juego."
"Wooser no Sono Higurashi: Arco fantasmagórico","Subtitulado","2.9",26,0,1,13,91,7,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia""]","Good Smile Co","https://www.crunchyroll.com/es-es/series/GRE5KWDX6/woosers-hand-to-mouth-life-phantasmagoric-arc","¡El chiflado y lindo pero grosero Wooser regresa para otra temporada con de Wooser no Sono Higurashi: Arco fantasmagórico! Doblado por el prolífico actor de voz Mamoru Miyano, Wooser es una criatura que solo se preocupa por tres cosas en la vida: la carne, el dinero y las chicas."
"Last Period: the journey to the end of the despair","Sub | Dob","3.2",172,1,1,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Comedia"",""Fantasia""]","NBC Universal","https://www.crunchyroll.com/es-es/series/GRZJ7W0D6/last-period-the-journey-to-the-end-of-the-despair","Cuando Haru y sus compañeros regresan a la sede de la División 8 de Arc End, la organización responsable de acabar con los seres llamados Spirals, descubren que el sitio está cerrado. Al parecer alguien robó los fondos de la sede mientras estaban fuera y esta tuvo que cerrar. Ahora solo ellos, su antigua líder y otra compañera podrán trabajar para reconstruir de nuevo la División 8."
"Grand Blues!","Subtitulado","3.4",155,3,1,12,36,3,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia"",""Fantasia""]","Cygames","https://www.crunchyroll.com/es-es/series/GYEMEVGVR/grand-blues","Un spinoff cómico de Granblue Fantasy basado en el 4-koma Guraburu! de la franquicia. ¡Vuelven los personajes de Granblue con más humor que nunca!"
"JORAN THE PRINCESS OF SNOW AND BLOOD","Subtitulado","4.2",1000,2,1,12,264,22,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[]","ntv","https://www.crunchyroll.com/es-es/series/GJ0H7Q4E9/joran-the-princess-of-snow-and-blood","El anime se desarrolla en una versión alternativa del año 1931 de Japón, donde el shogunato Tokugawa nunca fue abolido y el emperador Meiji nunca volvió al poder. La historia seguirá las actividades de una organización llamada Nue que trabaja para el shogunato y se asegura de que se cumplan sus leyes. Con esto la historia difiere de la del Japón real, contándonos la serie que estamos en el año 64 de la era Meiji (la cual en el mundo real duró solo 45 años, hasta el año 1912) y menciona que el shogun es Tokugawa Yoshinobu, quien murió en 1913 en realidad."
"Monster Strike the Movie: Lucifer Dawn of Despair","Subtitulado","3.4",79,0,1,1,127,127,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Fantasia""]","NBC Universal","https://www.crunchyroll.com/es-es/series/GKEH2G8N4/monster-strike-the-movie-lucifer-dawn-of-despair","Monster Strike the Movie: Lucifer - Zetsubou no Yoake"
"The Island of Giant Insects","Para adultos","3.0",472,2,1,2,97,49,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Thriller""]","ADK","https://www.crunchyroll.com/es-es/series/GY79XX9MR/the-island-of-giant-insects","Los estudiantes de la Academia Hosho estaban en un viaje cuando de repente su avión se estrella en misteriosas circunstancias. Entre los supervivientes está nuestra protagonista, Oribe Mutsumi, quien despierta en la playa de una isla perdida junto a Matsuo Ayumi.. El primer instinto de los adolescentes es esperar a que llegue la ayuda, pero no tardan en descubrir algo aterrador: ¡la isla está poblada por insectos gigantescos! Creyendo que solo tendrán que aguantar tres días hasta que los rescaten, se preparan para enfrentarse a los insectos."
"Kaasan Mom's Life","Subtitulado","4.5",1000,0,0,0,0,0,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/G6WE42PG6/kaasan-moms-life",""
"Mushibugyo","Subtitulado","4.6",389,0,1,27,597,22,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Português (Brasil)""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Fantasia""]","TV TOKYO","https://www.crunchyroll.com/es-es/series/G65VJVG56/mushibugyo","Tsukishima Jinbei es un guerrero que tiene como principal objetivo ser el mejor guerrero, bajo la creencia de que un guerrero débil no merece ser llamado como tal, es por esto que entrena muy fuertemente a diario, Hasta que un día es llamado a la Ciudad de Edo, a unirse a una nueva división llamada ""Mushibugyo"" que se dedica a cuidar de la ciudad, lo que el no sabe es que la ciudad se encuentra bajo los ataques de enormes insectos. Jinbei y los miembros del ""Mushibugyo"" no descansará hasta eliminar esta rara amenaza."
"Fairy Tail","Subtitulado","4.6",12000,20,0,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Español (América Latina)"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Comedia"",""Fantasia"",""Shounen""]","TV Tokyo Fairy Tail","https://www.crunchyroll.com/es-es/series/G6DQDD3WR/fairy-tail","Lucy Heartfilia es una joven decidida a unirse al gremio de magos Fairy Tail. En su recorrido conocerá a Natsu, que es parte del gremio y que le ofrece entrar a formar parte de sus filas. Una historia de amistad, superación, combates mágicos, humor y muchos retos que superar, siempre con mucha acción de por medio."
"Pumpkin Scissors","Sub | Dob","4.3",390,1,1,0,0,0,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Drama""]","GONZO","https://www.crunchyroll.com/es-es/series/G675N0DZR/pumpkin-scissors",""
"The Iceblade Sorcerer Shall Rule the World","Subtitulado","4.6",7000,5,3,7,168,24,"[""Japonés"",""English"",""Deutsch""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","true","true","-","-","-","-","-","true","-","-","-","-","true","-","-","-","[""Acción"",""Drama"",""Fantasia""]","Kodansha Ltd.","https://www.crunchyroll.com/es-es/series/GDKHZEP21/the-iceblade-sorcerer-shall-rule-the-world","El Hechicero de la Espada de Hielo es el hechicero más poderoso del mundo. Quien hereda su título, Ray White, vive en una lucha constante para controlar su inmenso poder. Tras combatir en la guerra del Lejano Oriente, su última hazaña, desaparece del campo de batalla lastrado por una gran carga psicológica. Pasan tres años y Ray se inscribe en la Academia de Magia Arnold, una escuela repleta de hechiceros de élite de todo el mundo. Ray es el primer “Ordinario” en asistir a la academia desde que esta se fundó, así que sus compañeros, todos de noble cuna, no tardan en despreciarlo y mirarlo con desdén. Ahora, tanto él como los nuevos amigos que ha hecho en la academia, se verán involucrados en multitud de intrigas. Este es el inicio de la historia de la vida escolar del hechicero más poderoso, sus amistades y sus dificultades."
"JUJUTSU KAISEN","Sub | Dob","4.9",104000,65,0,0,0,0,"[""Japonés"",""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Português (Portugal)"",""Русский"",""العربية""]","true","true","true","-","true","true","true","true","true","true","-","-","true","true","true","true","-","true","true","true","true","-","-","[]","Toho","https://www.crunchyroll.com/es-es/series/GRDV0019R/jujutsu-kaisen","Dificultades, arrepentimiento, vergüenza… Los sentimientos negativos de los humanos se convierten en Maldiciones que nos acechan en nuestra vida diaria. Las Maldiciones campan a sus anchas por todo el mundo, y pueden llevar a las personas a sufrir terribles desgracias e incluso dirigirlas a su muerte. Y lo que es peor: solo una Maldición puede exorcizar otra Maldición."
"Hand Shakers","Sub | Dob","3.2",457,1,1,12,276,23,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Ciencia Ficción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G6DQM178R/hand-shakers","Tazuna es un estudiante de instituto/preparatoria que vive en Osaka y al que le encantan las máquinas. Un día recibe la petición de reparar un objeto desde un laboratorio universitario, algo que él emocionado acepta. Con la petición acaba conociendo a una chica llamada Koyori que lleva mucho tiempo postrada en cama. Guiado por un instinto misterioso, Tazuna toca la mano de Koyori y crean un arma llamada ""Nimrod""."
"Somali and the Forest Spirit","Sub | Dob","4.8",3000,5,1,0,0,0,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Aventura"",""Drama"",""Fantasia""]","Mixer","https://www.crunchyroll.com/es-es/series/G60X5KMPR/somali-and-the-forest-spirit","En un mundo en el que seres de todo tipo habitan sus pueblos y ciudades, los humanos son una raza al borde de la extinción tras azuzar ellos mismos una guerra que les llevó a ello. Un día, un golem, un guardián de los bosques, encuentra en su bosque a una niña humana. Esta es la historia del viaje de ambos para encontrar humanos en el que el golem será el padre de la pequeña."
"Angolmois: Record of Mongol Invasion","Sub | Dob","4.6",554,1,1,12,276,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G6J0QJ32R/angolmois-record-of-mongol-invasion","En el siglo XIII, el Imperio Mongol se expande rápidamente por todo el planeta. Los historiadores que estudiarían posteriormente las profecías de Nostradamus dirán que Mongolia fue el lugar de nacimiento del ""Gran Rey del Terror"", Angolmois. No fue hasta 1274 cuando el Imperio Mongol puso su mira en Japón: la Invasión de Bun'ei. Esta es la historia de la batalla contra la invasión de los mongoles que azotó la edad media japonesa. Descubre cómo la gente de Tsushima entró en pánico para luego luchar y repeler a las poderosas fuerzas enemigas."
"Patrullera Espacial Luluco","Sub | Dob","4.6",447,0,1,14,92,7,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Fantasia"",""Romance"",""Ciencia Ficción""]","Good Smile Co","https://www.crunchyroll.com/es-es/series/G63VM514Y/space-patrol-luluco","Luluco es una estudiante de secundaria corriente, con un padre corriente, en un pueblo poco corriente: Ogikubo, el único Distrito para Inmigración Espacial de la Tierra y donde conviven humanos y extraterrestres. Su padre trabaja para la infame Patrulla Espacial, y por cosas del destino, ella será también una agente (temporal) de la misma."
"WONDER EGG PRIORITY","Sub | Dob","4.5",4000,3,1,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[]","Aniplex of America","https://www.crunchyroll.com/es-es/series/GXJHM372Z/wonder-egg-priority","Esta es la historia de Ai, una chica introvertida cuyo destino cambia para siempre después de adquirir un misterioso ""Huevo Maravilla"" en un salón recreativo abandonado."
"Campfire Cooking in Another World with My Absurd Skills","Subtitulado","4.9",8000,4,1,4,92,23,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Fantasia""]","MAPPA","https://www.crunchyroll.com/es-es/series/GG5H5X3EE/campfire-cooking-in-another-world-with-my-absurd-skills","Tsuyoshi Mukoda es un oficinista cualquiera al que de repente transportan a otro mundo. La habilidad única que obtiene al llegar a este nuevo mundo es una que parece un tanto inútil, “Supermercado Online”. Al inicio Mukoda está muy deprimido, ¡pero resulta que toda la comida moderna que puede proporcionar a este nuevo mundo con su nueva habilidad tiene algunos efectos increíbles!"
"The Case Files of Jeweler Richard","Sub | Dob","4.7",999,3,1,0,0,0,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Drama"",""Seinen""]","Avex","https://www.crunchyroll.com/es-es/series/GYQWDDJ4Y/the-case-files-of-jeweler-richard","Seigi Nakata es un joven universitario con un gran sentido de la justicia que una noche salva a Richard, un apuesto extranjero, de unos borrachos que lo molestaban. Cuando Seigi descubre que Richard es joyero, le pide que por favor le valore un anillo con una historia un tanto escalofriante, una que su abuela mantuvo en secreto hasta que murió."
"My Roommate is a Cat","Sub | Dob","4.8",2000,2,1,0,0,0,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Comedia"",""Drama""]","NBC Universal","https://www.crunchyroll.com/es-es/series/G6EX7J43R/my-roommate-is-a-cat","Subaru Mikazuki es un novelista que sufre el defecto de ser excesivamente tímido, lo que hace que le cueste mucho relacionarse con otras personas. Un día encuentra en la calle a un gato al que han abandonado en la calle y sobrevive como puede. Ambos forjarán amistad y acabarán viviendo juntos, contándonos esta serie su día a día a través tanto de los ojos del humano, como de los ojos del gato. Pequeños momentos que pueden parecer triviales al espectador, pero que al ir uniéndose, hace que ambos sientan que tienen un amigo de confianza en el otro y sean felices."
"Blue Reflection Ray","Sub | Dob","4.1",236,0,0,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)"",""Русский""]","[""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)"",""العربية""]","-","true","true","-","-","true","-","-","true","true","-","-","-","true","true","-","-","true","-","-","true","-","-","[""Acción"",""Drama""]","DMM Corporation","https://www.crunchyroll.com/es-es/series/GQWH0M7XD/blue-reflection-ray","La optimista Hiori no puede rechazar a los necesitados. La torpe Ruka no puede hacer amigos. Pero tienen una cosa en común: ¡son chicas mágicas, Reflectoras! Esta pareja usará poderes para ayudar a resolver las disputas emocionales y proteger a los Fragmentos de los corazones de las personas."
"Shangri-la","Sub | Dob","3.5",151,1,1,0,0,0,"[""Japonés"",""English""]","[""English""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","GONZO","https://www.crunchyroll.com/es-es/series/G69P4W50Y/shangri-la",""
"Phantom Thief Reinya","Subtitulado","4.1",176,0,1,12,36,3,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Aventura"",""Comedia"",""Thriller""]","Kadokawa Pictures Inc.","https://www.crunchyroll.com/es-es/series/G609XMXW6/phantom-thief-reinya",""
"Robotech","Doblajes","4.4",435,0,0,0,0,0,"[""English""]","[]","-","-","true","-","-","-","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Ciencia Ficción""]","Harmony Gold","https://www.crunchyroll.com/es-es/series/GEXH3WKDP/robotech",""
"Actors: Songs Connection","Sub | Dob","3.8",91,0,1,12,276,23,"[""Japonés"",""English""]","[""English"",""Deutsch"",""Español (América Latina)""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Musical""]","PONY CANYON INC.","https://www.crunchyroll.com/es-es/series/GW4HM75MZ/actors-songs-connection",""
"ROOM CAMP","Sub | Dob","4.8",672,1,1,13,47,4,"[""Japonés""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Comedia""]","Furyu","https://www.crunchyroll.com/es-es/series/GRVD5JGPR/room-camp","En la prefectura de Yamanashi encontramos la Preparatoria Motosu. Si nos adentramos en uno de sus edificios encontraremos el club de actividades al aire libre, aunque solo tiene tres miembros y su sala del club apenas parece un armario de la limpieza. Nadeshiko Kagamihara quiere matar un poco el tiempo en la sala del club, pero entonces Chiaki y Aoi aparecen y revelan qué necesita Nadeshiko para ser toda una chica de Yamanashi, ¡así que es hora de partir de viaje recorriendo la zona para completar el rally de stickers infantil!"
"SHOW BY ROCK!! Mashumairesh!!","Sub | Dob","4.2",88,0,1,12,276,23,"[""Japonés"",""English""]","[""English"",""Deutsch"",""Français""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Musical""]","Furyu","https://www.crunchyroll.com/es-es/series/GEXH3W4G4/show-by-rock-mashumairesh",""
"Myriad Colors Phantom World","Sub | Dob","4.5",1000,7,1,13,299,23,"[""Japonés"",""English""]","[""Español (España)"",""English"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""العربية""]","-","-","true","-","-","-","-","-","true","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[]","ABC Asahi","https://www.crunchyroll.com/es-es/series/G609G0PP6/myriad-colors-phantom-world","En un futuro cercano, los seres humanos comienzan a ver e interactuar con unas criaturas llamadas ""Espectros"" que aparecen en el mundo. Haruhiko Ichijo es un estudiante en la Academia Hosea, y junto a Mai Kawakami, Reina Izumi, y Koito Minase, luchará contra los Espectros... y se ganará el sustento con ello. La vida en secundaria transcurre con normalidad hasta que cierto incidente les revela la realidad de su mundo."
"Gleipnir","Sub | Dob","—",0,0,0,0,0,0,"[""Japonés"",""English"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Português (Brasil)""]","-","true","true","-","-","true","-","-","true","-","-","-","-","true","true","-","-","true","-","-","-","-","-","[]","Bilibili Inc","https://www.crunchyroll.com/es-es/series/G9VHN9P7W/gleipnir",""
"Lucifer and the Biscuit Hammer","Sub | Dob","3.6",4000,3,0,0,0,0,"[""Japonés"",""English"",""Français"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","-","true","true","-","-","true","-","-","-","-","-","true","true","-","true","-","-","-","-","-","[""Acción"",""Fantasia""]","ntv","https://www.crunchyroll.com/es-es/series/G1XHJV22X/lucifer-and-the-biscuit-hammer","Yuuhi Asamiya es un estudiante universitario cualquiera ante el cual un día aparece un lagarto que le dice que necesita su ayuda para salvar el mundo. Yuuhi descubre que ha obtenido un anillo que le otorga ciertos poderes, pero tras un primer ataque del enemigo se salva de milagro gracias a la intervención de la ""princesa"" de la que le hablaba el lagarto, quien por cierto, es un caballero. ¡Y la princesa es su vecina! Pero ¿qué planes tiene esta chica, Samidare? Una comedia que combina lo más ordinario con lo más extraño y sobrenatural del mundo."
"Miss KUROITSU from the Monster Development Department","Doblajes","4.3",2000,2,5,40,920,23,"[""Japonés"",""English"",""English (India)"",""Русский"",""हिंदी""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","-","true","true","-","-","-","-","true","true","-","true","-","-","true","-","-","-","-","-","true","-","true","[""Comedia"",""Ciencia Ficción""]","ABC Asahi","https://www.crunchyroll.com/es-es/series/G0XHWM0G9/miss-kuroitsu-from-the-monster-development-department","Sigue a Miss Kuroitsu mientras crea criaturas de todo tipo para una organización malvada con la intención de que peleen contra superhéroes."
"NieR:Automata Ver1.1a","Sub | Dob","4.8",9000,14,3,5,115,23,"[""Japonés"",""Español (América Latina)"",""Português (Brasil)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","-","-","-","true","-","-","true","-","-","-","-","true","-","-","-","true","-","-","-","-","-","[""Acción"",""Drama"",""Ciencia Ficción""]","Aniplex of America","https://www.crunchyroll.com/es-es/series/GNVHKNPW1/nierautomata-ver11a","2B es una unidad que participa en una misión que tristemente sale mal y eliminan a todo su equipo. Ella intenta seguir con su misión, donde conoce a 9S."
"Demon King Daimao","Subtitulado","4.4",6000,2,1,0,0,0,"[""Japonés""]","[""English""]","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","-","-","-","-","-","-","[""Acción"",""Comedia"",""Fantasia"",""Romance""]","Marvelous AQL Inc.","https://www.crunchyroll.com/es-es/series/GRGG58V1R/demon-king-daimao",""
"Blade Runner: Black Lotus","Sub | Dob","4.2",1000,5,1,13,286,22,"[""Japonés"",""Español (América Latina)""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский"",""العربية""]","-","true","-","-","-","-","-","-","true","-","-","-","-","true","-","-","-","-","-","-","-","-","-","[""Acción"",""Drama"",""Ciencia Ficción""]","Alcon Entertainment, LLC","https://www.crunchyroll.com/es-es/series/GZJH3DPK0/blade-runner-black-lotus",""
"FreakAngels","Doblajes","3.1",878,3,1,9,229,25,"[""English""]","[""Español (España)"",""English"",""Deutsch"",""Español (América Latina)"",""Français"",""Italiano"",""Português (Brasil)"",""Русский""]","-","-","true","-","-","-","-","-","-","-","-","-","-","-","true","-","-","-","-","-","-","-","-","[""Acción"",""Drama"",""Fantasia"",""Ciencia Ficción""]","Crunchyroll Studios","https://www.crunchyroll.com/es-es/series/GXJHM378Z/freakangels",""
